528;ooievaar of zwarte ooievaar;OoiSpec;ooievaar of zwarte ooievaar
546;anser spec;AnserSpec;anser spec.
584;kiekendief spec;KiekSpec;kiekendief spec
585;Sperwer/Havik;Sperwer/Havik;sperwer of havik
586;buizerd spec;BuizerdSpec;buizerd spec
591;arend spec;ArendSpec;arend spec.
592;dwegarend;Dwergar;dwergarend
602;valk spec;ValkSpec;valk spec.
654;strandloper spec;StrandLoSpec;strandloper spec
665;wulp spec;WulpSpec;wulp spec.
672;steltlopers spec;SteltSpec;steltloper spec.
705;stern spec;SternSpec;stern spec.
737;gierzwaluw spec;GierZwSpec;gierzwaluw spec.
758;leeuwerik spec;LewrikSpec;leeuwerik spec.
761;rotszwaluw;Rotszwaluw;rotszwaluw
763;zwaluw spec.;zwaluw spec.;zwaluw spec.
766;pieper spec;PieperSpec;pieper spec.
806;lijster spec;LijstSpec;lijster spec.
837;loofzanger spec;LoofZaSpec;loofzanger spec
841;vliegenvanger spec;VlieVaSpec;vliegenvanger spec
879;vink spec;VinkSpec;vink spec.
884;kruisbek spec.;kruisbek spec.;kruisbek spec.
907;gors spec;GorsSpec;gors spec.
912;grauwe of steppekiekendief;Gr/Steppekiek;grauwe of steppekiekendief
914;kleine of middelste jager;Kle/MidJager;miki;kimi
916;roodkeel of parelduiker;Roodk/Parelduiker;roodkeel of parelduiker
933;Bruinvis;Bruinvis;bruinvis
945;gans spec;GansSpec;gans spec.
976;Grijze Zeehond;GrijZeeho;grijze zeehond
978;Gewone Zeehond;GewZeeho;gewone zeehond
981;duif spec;ColumbaSpec;duif (columba) spec.
983;Atalanta;Atalanta;atalanta
984;eend spec.;eendSpec;eend spec.
990;grote meeuw spec;GroMeeuwSpec;grote meeuw spec.
995;zangvogel spec;ZangVoSpec;zangvogel spec.
997;roofvogel spec;RoofSpec;roofvogel spec.
999;buizerd of wespendief;Buz/Wesp;buizerd of wespendief
1062;water of oeverpieper;Water/Oeverpieper;waterpieper of oeverpieper
1072;Dagpauwoog;Dagpauw;dagpauwoog
1074;koolwitje spec;KoolWitSpec;koolwitje spec.
1078;Bont Zandoogje;Bont Zandoogje;bont zandoogje
1081;boompieper/sib. boompieper;Boompieper/Sib. Boompieper;boompieper of sib. boompieper
1084;rotgans spec.;rotgans spec.;rotgans spec.
1098;Kolibrievlinder;Kolibrievlinder;kolibrievlinder
1099;Boomvalk/Roodpootvalk;Boomvalk/Roodpootvalk;boomvalk of roodpootvalk
1102;blauwe of grauwe of steppekiekendief;Bl/Gr/Steppekiek;blauwe of grauwe of steppekiekendief
1119;hommel spec;HommelSpec;hommel spec.
1127;Vink/Keep;Vink/Keep;vink of keep
1150;middelgrote roofvogel;middelgrote roofvogel;middelgrote roofvogel
1478;Pluvialis sp.;Pluvialis sp.;pluvialis sp.
1924;Citroenvlinder;Citroenvlinder;citroenvlinder
2313;kleine steltloper spec;KlSteltSpec;kleine steltloper spec.
2314;grote steltloper spec;GroSteltSpec;grote steltloper spec.
4606;Grote Keizerlibel;Grote Keizerlibel;grote keizerlibel
4612;Bloedrode heidelibel;Bloedrode heidelibel;bloedrode heidelibel
4614;heidelibel spec;HeideLiSpec;heidelibel onbekend
4617;Blauwe Glazenmaker;Blauwe Glazenmaker;blauwe glazenmaker
4623;Glazenmaker onbekend;Glazenmaker onbekend;glazenmaker onbekend
4806;Valkparkiet;Valkparkiet;valkparkiet
4868;koereiger of kleine zilverreiger;Koe/KlZil;koereiger of kleine zilverreiger
