453;alk of zeekoet;Alk/Zeekoet;;;;;;;;;;;;;;;;;;;
455;jager spec;JagerSpec;;;;;;;;;;;;;;;;;;;
457;duiker spec;DuikSpec;;;;;;;;;;;;;;;;;;;
500;stormvogeltje spec;StormVoSpec;;;;;;;;;;;;;;;;;;;
526;reiger spec;ArdeaSpec;;;;;;;;;;;;;;;;;;;
528;ooievaar of zwarte ooievaar;OoiSpec;;;;;;;;;;;;;;;;;;;
546;anser spec;AnserSpec;;;;;;;;;;;;;;;;;;;
584;kiekendief spec;KiekSpec;;;;;;;;;;;;;;;;;;;
586;buizerd spec;BuizerdSpec;;;;;;;;;;;;;;;;;;;
591;arend spec;ArendSpec;;;;;;;;;;;;;;;;;;;
592;dwegarend;Dwergar;;;;;;;;;;;;;;;;;;;
602;valk spec;ValkSpec;;;;;;;;;;;;;;;;;;;
654;strandloper spec;StrandLoSpec;;;;;;;;;;;;;;;;;;;
665;wulp spec;WulpSpec;;;;;;;;;;;;;;;;;;;
672;steltlopers spec;SteltSpec;;;;;;;;;;;;;;;;;;;
705;stern spec;SternSpec;;;;;;;;;;;;;;;;;;;
737;gierzwaluw spec;GierZwSpec;;;;;;;;;;;;;;;;;;;
758;leeuwerik spec;LewrikSpec;;;;;;;;;;;;;;;;;;;
761;rotszwaluw;Rotszwaluw;;;;;;;;;;;;;;;;;;;
766;pieper spec;PieperSpec;;;;;;;;;;;;;;;;;;;
806;lijster spec;LijstSpec;;;;;;;;;;;;;;;;;;;
837;loofzanger spec;LoofZaSpec;;;;;;;;;;;;;;;;;;;
841;vliegenvanger spec;VlieVaSpec;;;;;;;;;;;;;;;;;;;
879;vink spec;VinkSpec;;;;;;;;;;;;;;;;;;;
907;gors spec;GorsSpec;;;;;;;;;;;;;;;;;;;
912;grauwe of steppekiekendief;Gr/Steppekiek;;;;;;;;;;;;;;;;;;;
914;kleine of middelste jager;Kle/MidJager;miki;kimi;;;;;;;;;;;;;;;;;
916;roodkeel of parelduiker;Roodk/Parelduiker;;;;;;;;;;;;;;;;;;;
945;gans spec;GansSpec;;;;;;;;;;;;;;;;;;;
981;duif spec;ColumbaSpec;;;;;;;;;;;;;;;;;;;
990;grote meeuw spec;GroMeeuwSpec;;;;;;;;;;;;;;;;;;;
995;zangvogel spec;ZangVoSpec;;;;;;;;;;;;;;;;;;;
997;roofvogel spec;RoofSpec;;;;;;;;;;;;;;;;;;;
